update,steps,gap,gap1,gap2,e1,e2,entropy,clip_eps,lr,approx_kl
15,245760,10.285518169403076,10.285518169403076,8.219013214111328,68.46448183059692,70.53098678588867,0.02,0.24,0.0003,0.008380580402445048
16,262144,9.255728721618652,9.255728721618652,7.273993492126465,69.49427127838135,71.47600650787354,0.02,0.24,0.0003,0.008557456702692433
17,278528,8.292458057403564,8.292458057403564,6.394163370132446,70.45754194259644,72.35583662986755,0.02,0.24,0.0003,0.00862679029814899
18,294912,7.516977787017822,7.516977787017822,5.816010236740112,71.23302221298218,72.93398976325989,0.02,0.24,0.0003,0.004289217235054821
19,311296,6.8017637729644775,6.8017637729644775,5.594102144241333,71.94823622703552,73.15589785575867,0.02,0.288,0.00037499999999999995,0.006169504742138088
20,327680,5.8177268505096436,5.8177268505096436,4.555723667144775,72.93227314949036,74.19427633285522,0.02,0.34559999999999996,0.00045,0.009957813227083534
21,344064,5.1017022132873535,5.1017022132873535,4.075775146484375,73.64829778671265,74.67422485351562,0.02,0.34559999999999996,0.00045,0.00841316811274737
22,360448,4.389057159423828,4.389057159423828,3.5759902000427246,74.36094284057617,75.17400979995728,0.02,0.34559999999999996,0.00045,0.008753764710854739
23,376832,4.302058219909668,4.302058219909668,3.867737054824829,74.44794178009033,74.88226294517517,0.02,0.34559999999999996,0.00045,0.0013325887965038418
24,393216,3.651247024536133,3.651247024536133,3.128037452697754,75.09875297546387,75.62196254730225,0.02,0.375,0.00045,0.007005427475087344
25,409600,2.958378791809082,2.958378791809082,2.469143867492676,75.79162120819092,76.28085613250732,0.02,0.375,0.00045,0.007158557116053998
26,425984,2.3871397972106934,2.3871397972106934,1.9486761093139648,76.3628602027893,76.80132389068604,0.02,0.375,0.00045,0.005062947981059551
27,442368,2.6117897033691406,2.3935353755950928,2.6117897033691406,76.35646462440491,76.13821029663086,0.02,0.375,0.00045,0.003942593745887279
28,458752,3.3198630809783936,2.7251040935516357,3.3198630809783936,76.02489590644836,75.4301369190216,0.02,0.375,0.00045,0.006821006746031344
29,475136,4.112694263458252,3.243563175201416,4.112694263458252,75.50643682479858,74.63730573654175,0.02,0.375,0.00045,0.008552618557587266
30,491520,4.329196214675903,3.4813737869262695,4.329196214675903,75.26862621307373,74.4208037853241,0.02,0.375,0.00045,0.0024292096961289643
31,507904,4.1941916942596436,2.9972708225250244,4.1941916942596436,75.75272917747498,74.55580830574036,0.02,0.375,0.00045,0.00381646592868492
32,524288,4.828623533248901,3.585735559463501,4.828623533248901,75.1642644405365,73.9213764667511,0.02,0.375,0.00045,0.007666694861836731
33,540672,5.177614688873291,4.055372476577759,5.177614688873291,74.69462752342224,73.57238531112671,0.02,0.375,0.00045,0.00595739436103031
