step,method,q,seed,ablation,approx_kl,mean_kl_window
1036288,TEL-PPO,55.0,50,baseline,0.0483,
1040384,TEL-PPO,55.0,50,baseline,0.0079,
1044480,TEL-PPO,55.0,50,baseline,0.0078,
1048576,TEL-PPO,55.0,50,baseline,0.0144,
1052672,TEL-PPO,55.0,50,baseline,0.0389,
1056768,TEL-PPO,55.0,50,baseline,0.0,
1060864,TEL-PPO,55.0,50,baseline,0.0422,
1064960,TEL-PPO,55.0,50,baseline,0.0197,
1069056,TEL-PPO,55.0,50,baseline,0.0146,
1073152,TEL-PPO,55.0,50,baseline,0.0,
1077248,TEL-PPO,55.0,50,baseline,0.0045,
1081344,TEL-PPO,55.0,50,baseline,0.0,
1085440,TEL-PPO,55.0,50,baseline,0.0127,
1089536,TEL-PPO,55.0,50,baseline,0.0,
1093632,TEL-PPO,55.0,50,baseline,0.0,
1097728,TEL-PPO,55.0,50,baseline,0.0083,
1101824,TEL-PPO,55.0,50,baseline,0.0205,
1105920,TEL-PPO,55.0,50,baseline,0.0039,
1110016,TEL-PPO,55.0,50,baseline,0.0383,
1114112,TEL-PPO,55.0,50,baseline,0.0,
1118208,TEL-PPO,55.0,50,baseline,0.0126,
1122304,TEL-PPO,55.0,50,baseline,0.0104,
1126400,TEL-PPO,55.0,50,baseline,0.0215,
1130496,TEL-PPO,55.0,50,baseline,0.0274,
1134592,TEL-PPO,55.0,50,baseline,0.0,
1138688,TEL-PPO,55.0,50,baseline,0.0016,
1142784,TEL-PPO,55.0,50,baseline,0.0582,
1146880,TEL-PPO,55.0,50,baseline,0.0,
1150976,TEL-PPO,55.0,50,baseline,0.0,
1155072,TEL-PPO,55.0,50,baseline,0.0595,
1159168,TEL-PPO,55.0,50,baseline,0.0154,
1163264,TEL-PPO,55.0,50,baseline,0.0031,
1167360,TEL-PPO,55.0,50,baseline,0.041,
1171456,TEL-PPO,55.0,50,baseline,0.0369,
1175552,TEL-PPO,55.0,50,baseline,0.0,
1179648,TEL-PPO,55.0,50,baseline,0.0028,
1183744,TEL-PPO,55.0,50,baseline,0.0,
1187840,TEL-PPO,55.0,50,baseline,0.0,
1191936,TEL-PPO,55.0,50,baseline,0.0247,
1196032,TEL-PPO,55.0,50,baseline,0.0538,
1200128,TEL-PPO,55.0,50,baseline,0.0073,
1204224,TEL-PPO,55.0,50,baseline,0.0,
1208320,TEL-PPO,55.0,50,baseline,0.0,
1212416,TEL-PPO,55.0,50,baseline,0.0133,
1216512,TEL-PPO,55.0,50,baseline,0.0156,
1220608,TEL-PPO,55.0,50,baseline,0.0212,
1224704,TEL-PPO,55.0,50,baseline,0.0,
1228800,TEL-PPO,55.0,50,baseline,0.0,
1232896,TEL-PPO,55.0,50,baseline,0.0063,
1236992,TEL-PPO,55.0,50,baseline,0.0116,
1241088,TEL-PPO,55.0,50,baseline,0.0,
1245184,TEL-PPO,55.0,50,baseline,0.0068,
1249280,TEL-PPO,55.0,50,baseline,0.028,
1253376,TEL-PPO,55.0,50,baseline,0.0302,
1257472,TEL-PPO,55.0,50,baseline,0.0,
1261568,TEL-PPO,55.0,50,baseline,0.0373,
1265664,TEL-PPO,55.0,50,baseline,0.0,
1269760,TEL-PPO,55.0,50,baseline,0.0036,
1273856,TEL-PPO,55.0,50,baseline,0.0216,
1277952,TEL-PPO,55.0,50,baseline,0.0,
1282048,TEL-PPO,55.0,50,baseline,0.0463,
1286144,TEL-PPO,55.0,50,baseline,0.019,
1290240,TEL-PPO,55.0,50,baseline,0.0312,
1294336,TEL-PPO,55.0,50,baseline,0.0282,
1298432,TEL-PPO,55.0,50,baseline,0.0072,
1302528,TEL-PPO,55.0,50,baseline,0.002,
1306624,TEL-PPO,55.0,50,baseline,0.0426,
1310720,TEL-PPO,55.0,50,baseline,0.0,
1314816,TEL-PPO,55.0,50,baseline,0.0325,
1318912,TEL-PPO,55.0,50,baseline,0.0463,
1323008,TEL-PPO,55.0,50,baseline,0.0,
1327104,TEL-PPO,55.0,50,baseline,0.0,
1331200,TEL-PPO,55.0,50,baseline,0.0231,
1335296,TEL-PPO,55.0,50,baseline,0.0,
1339392,TEL-PPO,55.0,50,baseline,0.0,
1343488,TEL-PPO,55.0,50,baseline,0.0349,
1347584,TEL-PPO,55.0,50,baseline,0.0,
1351680,TEL-PPO,55.0,50,baseline,0.0,
1355776,TEL-PPO,55.0,50,baseline,0.0,
1359872,TEL-PPO,55.0,50,baseline,0.0721,
1363968,TEL-PPO,55.0,50,baseline,0.0219,
1368064,TEL-PPO,55.0,50,baseline,0.0274,
1372160,TEL-PPO,55.0,50,baseline,0.0253,
1376256,TEL-PPO,55.0,50,baseline,0.0296,
1380352,TEL-PPO,55.0,50,baseline,0.0,
1384448,TEL-PPO,55.0,50,baseline,0.0,
1388544,TEL-PPO,55.0,50,baseline,0.0031,
1392640,TEL-PPO,55.0,50,baseline,0.0,
1396736,TEL-PPO,55.0,50,baseline,0.0191,
1400832,TEL-PPO,55.0,50,baseline,0.0,
1404928,TEL-PPO,55.0,50,baseline,0.0102,
1409024,TEL-PPO,55.0,50,baseline,0.0,
1413120,TEL-PPO,55.0,50,baseline,0.0,
1417216,TEL-PPO,55.0,50,baseline,0.0,
1421312,TEL-PPO,55.0,50,baseline,0.0384,
1425408,TEL-PPO,55.0,50,baseline,0.0218,
1429504,TEL-PPO,55.0,50,baseline,0.0,
1433600,TEL-PPO,55.0,50,baseline,0.0153,
1437696,TEL-PPO,55.0,50,baseline,0.0106,
1441792,TEL-PPO,55.0,50,baseline,0.0265,
1445888,TEL-PPO,55.0,50,baseline,0.0,
1449984,TEL-PPO,55.0,50,baseline,0.0,
1454080,TEL-PPO,55.0,50,baseline,0.0053,
1458176,TEL-PPO,55.0,50,baseline,0.0,
1462272,TEL-PPO,55.0,50,baseline,0.0082,
1466368,TEL-PPO,55.0,50,baseline,0.0295,
1470464,TEL-PPO,55.0,50,baseline,0.0311,
1474560,TEL-PPO,55.0,50,baseline,0.0196,
1478656,TEL-PPO,55.0,50,baseline,0.0153,
1482752,TEL-PPO,55.0,50,baseline,0.0,
1486848,TEL-PPO,55.0,50,baseline,0.0093,
1490944,TEL-PPO,55.0,50,baseline,0.0,
1495040,TEL-PPO,55.0,50,baseline,0.0,
1499136,TEL-PPO,55.0,50,baseline,0.0,
1503232,TEL-PPO,55.0,50,baseline,0.0051,
1507328,TEL-PPO,55.0,50,baseline,0.0038,
1511424,TEL-PPO,55.0,50,baseline,0.0006,
1515520,TEL-PPO,55.0,50,baseline,0.0,
1519616,TEL-PPO,55.0,50,baseline,0.0114,
1523712,TEL-PPO,55.0,50,baseline,0.0,
1527808,TEL-PPO,55.0,50,baseline,0.0,
1531904,TEL-PPO,55.0,50,baseline,0.0067,
1536000,TEL-PPO,55.0,50,baseline,0.0356,
1540096,TEL-PPO,55.0,50,baseline,0.0,
1544192,TEL-PPO,55.0,50,baseline,0.0132,
1548288,TEL-PPO,55.0,50,baseline,0.0107,
1552384,TEL-PPO,55.0,50,baseline,0.0,
1556480,TEL-PPO,55.0,50,baseline,0.0,
1560576,TEL-PPO,55.0,50,baseline,0.0137,
1564672,TEL-PPO,55.0,50,baseline,0.0,
1568768,TEL-PPO,55.0,50,baseline,0.0203,
1572864,TEL-PPO,55.0,50,baseline,0.0067,
1576960,TEL-PPO,55.0,50,baseline,0.0,
1581056,TEL-PPO,55.0,50,baseline,0.0283,
1585152,TEL-PPO,55.0,50,baseline,0.0011,
1589248,TEL-PPO,55.0,50,baseline,0.059,
1593344,TEL-PPO,55.0,50,baseline,0.0,
1597440,TEL-PPO,55.0,50,baseline,0.0,
1601536,TEL-PPO,55.0,50,baseline,0.0,
1605632,TEL-PPO,55.0,50,baseline,0.0,
1609728,TEL-PPO,55.0,50,baseline,0.0,
1613824,TEL-PPO,55.0,50,baseline,0.0203,
1617920,TEL-PPO,55.0,50,baseline,0.0,
1622016,TEL-PPO,55.0,50,baseline,0.0395,
1626112,TEL-PPO,55.0,50,baseline,0.0084,
1630208,TEL-PPO,55.0,50,baseline,0.0,
1634304,TEL-PPO,55.0,50,baseline,0.0511,
1638400,TEL-PPO,55.0,50,baseline,0.0,
1642496,TEL-PPO,55.0,50,baseline,0.0822,
1646592,TEL-PPO,55.0,50,baseline,0.0237,
1650688,TEL-PPO,55.0,50,baseline,0.0245,
1654784,TEL-PPO,55.0,50,baseline,0.0,
1658880,TEL-PPO,55.0,50,baseline,0.0613,
1662976,TEL-PPO,55.0,50,baseline,0.0017,
1667072,TEL-PPO,55.0,50,baseline,0.0,
1671168,TEL-PPO,55.0,50,baseline,0.0123,
1675264,TEL-PPO,55.0,50,baseline,0.0142,
1679360,TEL-PPO,55.0,50,baseline,0.0093,
1683456,TEL-PPO,55.0,50,baseline,0.0274,
1687552,TEL-PPO,55.0,50,baseline,0.0376,
1691648,TEL-PPO,55.0,50,baseline,0.0419,
1695744,TEL-PPO,55.0,50,baseline,0.0,
1699840,TEL-PPO,55.0,50,baseline,0.0,
1703936,TEL-PPO,55.0,50,baseline,0.0251,
1708032,TEL-PPO,55.0,50,baseline,0.0,
