update,steps,gap,gap1,gap2,e1,e2,entropy,clip_eps,lr,approx_kl
68,1114112,52.56163537502289,37.583688497543335,52.56163537502289,41.166311502456665,26.188364624977112,0.02,0.15360000000000007,0.00018432000000000008,0.022589558919389675
69,1130496,47.79146373271942,37.32609510421753,47.79146373271942,41.42390489578247,30.95853626728058,0.02,0.15360000000000007,0.00018432000000000008,0.02102990617768228
70,1146880,43.304646611213684,37.03959345817566,43.304646611213684,41.71040654182434,35.445353388786316,0.02,0.15360000000000007,0.00018432000000000008,0.01315985034402729
71,1163264,38.67629528045654,36.76081359386444,38.67629528045654,41.98918640613556,40.07370471954346,0.02,0.15360000000000007,0.00018432000000000008,0.010299887195048995
72,1179648,36.472002267837524,36.472002267837524,34.64694678783417,42.277997732162476,44.10305321216583,0.02,0.15360000000000007,0.00018432000000000008,0.007059373654306001
73,1196032,36.15635395050049,36.15635395050049,33.150500655174255,42.59364604949951,45.599499344825745,0.02,0.18432000000000007,0.0002304000000000001,0.0018421827554220727
74,1212416,35.748422741889954,35.748422741889954,33.2162207365036,43.001577258110046,45.5337792634964,0.02,0.22118400000000007,0.0002880000000000001,0.0021060630923898315
75,1228800,35.3320038318634,35.3320038318634,32.26496338844299,43.4179961681366,46.48503661155701,0.02,0.26542080000000007,0.00036000000000000013,0.001980905425932633
76,1245184,35.559836626052856,35.559836626052856,32.03144431114197,43.190163373947144,46.71855568885803,0.02,0.31850496000000006,0.00045,0.0008793642384603117
77,1261568,34.91154372692108,34.91154372692108,32.8939950466156,43.83845627307892,45.8560049533844,0.02,0.375,0.00045,0.005507064998124633
78,1277952,34.306607246398926,34.306607246398926,32.39771783351898,44.443392753601074,46.35228216648102,0.02,0.375,0.00045,0.0034697825641615055
79,1294336,34.798622727394104,34.798622727394104,32.325047850608826,43.951377272605896,46.424952149391174,0.02,0.375,0.00045,0.0030693605146552725
80,1310720,34.29291903972626,34.29291903972626,32.01170027256012,44.45708096027374,46.73829972743988,0.02,0.375,0.00045,0.003164340197599813
81,1327104,34.854227900505066,34.854227900505066,32.85753786563873,43.895772099494934,45.89246213436127,0.02,0.375,0.00045,0.004056938067327565
82,1343488,34.317315220832825,34.317315220832825,33.431530594825745,44.432684779167175,45.318469405174255,0.02,0.375,0.00045,0.0031795886932059147
83,1359872,34.836599826812744,34.836599826812744,32.649866342544556,43.913400173187256,46.100133657455444,0.02,0.375,0.00045,0.004140010504693236
84,1376256,34.268582463264465,34.268582463264465,32.46536910533905,44.481417536735535,46.28463089466095,0.02,0.375,0.00045,0.003979116970219821
85,1392640,33.82024526596069,33.82024526596069,32.13883697986603,44.92975473403931,46.61116302013397,0.02,0.375,0.00045,0.0021378280959538642
86,1409024,34.20313060283661,34.20313060283661,32.435951232910156,44.54686939716339,46.314048767089844,0.02,0.375,0.00045,0.00176693248591846
87,1425408,33.672136664390564,33.672136664390564,31.671020984649658,45.077863335609436,47.07897901535034,0.02,0.375,0.00045,0.0037504250638903613
