run_id,variant_name,stage1_weight,stage2_weight,k1,k2,information_revelation,theoretical_stage1_effort,theoretical_stage2_effort,Model_training,final_stage1_effort,final_stage2_effort,final_weighted_effort,Convergence_Quality,episodes,Gap_from_theoretical,abs_err,stage2_gap_unweighted,gradient_iterations,gradient_final_grad,gradient_mode,opp_mode,opp_sync_interval,opp_ema_tau,opp_hist_size,last_sync_step,approx_kl,batch_entropy,alpha_mean,beta_mean,kl_proxy_max,kl_proxy_mean,ratio_max,ratio_mean,clip_frac_max,clip_frac_mean,approx_kl_max_abs,mean_kl_window,std_kl_window,drift_effort,exploitability,best_dev_effort,symmetry_gap,drift_ok_streak,exploit_ok_streak,converged_flag,eval_vs_history_effort_mean,eval_vs_history_effort_std,eval_vs_history_reward_mean,eval_vs_history_reward_std,eval_vs_history_abs_err_mean
20260408_141824,wh8_wl4,3.0,6.5,0.0006,0.0006,none,0.0,47.61904761904763,ppo,0.0,45.2540248632431,294.15116161108017,Poor,6144000,15.372647912729406,2.3650227558045245,2.3650227558045245,,,,periodic,0,0.0,0,-1,0.006838798522949219,-4.025390625,6004.7822265625,7264.27392578125,0.023503687232732773,0.007901713608589489,2.100525379180908,1.0010629296302795,0.3388671875,0.106689453125,0.03092193603515625,0.004242563247680664,0.007102383447766848,0.5202323198318481,0.0012645721435546875,44.75,0.00293163582681899,4,5,1,,,,,
20260408_144542,baseline,3.0,6.5,0.00055,0.00055,none,0.0,45.45454545454545,ppo,0.0,39.057657122612,253.874771296978,Poor,6144000,41.57977415756744,6.396888331933454,6.396888331933454,,,,periodic,0,0.0,0,-1,0.008614540100097656,-3.6494140625,2343.333251953125,3656.343505859375,0.023198964074254036,0.008754096452321392,1.980984091758728,1.0001395642757416,0.359375,0.13232421875,0.019168853759765625,0.00569555401802063,0.0054037159031306075,0.6777465343475342,0.022478818893432617,43.5,0.011393697932369662,3,5,1,,,,,
20260408_145150,wh8_wl4,3.0,6.5,0.0006,0.0006,none,0.0,47.61904761904763,ppo,0.0,44.83225345611572,291.4096474647522,Poor,6144000,18.114162059057378,2.786794162931905,2.786794162931905,,,,periodic,0,0.0,0,-1,0.004617214202880859,-3.7578125,3510.1904296875,4319.41943359375,0.012225888669490814,0.004969653586158529,1.7077149152755737,1.000352457165718,0.2021484375,0.0599365234375,0.013477325439453125,0.005331778526306152,0.003946315131025999,0.3878563642501831,0.006809711456298828,47.25,0.008332356810555552,3,5,1,,,,,
20260408_151335,baseline,3.0,6.5,0.00055,0.00055,none,0.0,45.45454545454545,ppo,0.0,46.828195452690125,304.3832704424858,Poor,6144000,8.92872498794037,1.3736499981446713,1.3736499981446713,,,,periodic,0,0.0,0,-1,0.009746551513671875,-3.87109375,4638.0712890625,5266.3701171875,0.036203768104314804,0.01290400273137493,2.380207061767578,1.003157451748848,0.474609375,0.16650390625,0.0435638427734375,0.004764934380849203,0.005750477958839995,0.4491478204727173,0.00921177864074707,42.25,0.0034053660929700413,4,5,1,,,,,
20260408_151941,wh8_wl4,3.0,6.5,0.0006,0.0006,none,0.0,47.61904761904763,ppo,0.0,41.60398542881012,270.4259052872658,Poor,6144000,39.0979042365438,6.015062190237508,6.015062190237508,,,,periodic,0,0.0,0,-1,0.005328178405761719,-3.71435546875,2933.713623046875,4117.80712890625,0.020625773817300797,0.008924197951273527,1.996521234512329,1.0035960301756859,0.310546875,0.133056640625,0.013336181640625,0.0036206185817718507,0.0025260489671235513,0.28229057788848877,0.01531362533569336,45.25,0.0009243944657555403,3,5,1,,,,,
20260408_154658,baseline,3.0,6.5,0.00055,0.00055,none,0.0,45.45454545454545,ppo,0.0,45.05493640899658,292.8570866584778,Fair,6144000,2.597458796067656,0.3996090455488712,0.3996090455488712,,,,periodic,0,0.0,0,-1,0.0024695396423339844,-3.74560546875,3442.6923828125,4198.40673828125,0.009958883747458458,0.0033385645219823346,1.5367772579193115,1.0008690431714058,0.16015625,0.03759765625,0.0123748779296875,0.005818307399749756,0.006962184558815029,0.4544854164123535,0.0004532337188720703,45.5,0.019514658488269276,3,5,1,,,,,
20260408_154728,wh8_wl4,3.0,6.5,0.0006,0.0006,none,0.0,47.61904761904763,ppo,0.0,42.72753596305847,277.72898375988007,Poor,6144000,31.79482576392951,4.891511655989156,4.891511655989156,,,,periodic,0,0.0,0,-1,-0.0005359649658203125,-3.8349609375,3871.595458984375,5189.52978515625,0.025922248139977455,0.008394627438974567,1.9275504350662231,1.0089306086301804,0.396484375,0.12158203125,0.018524169921875,0.0017236769199371338,0.0031088973916088398,0.3488600254058838,0.008942604064941406,45.0,0.005141908303016862,3,5,1,,,,,
20260408_161457,baseline,3.0,6.5,0.00055,0.00055,none,0.0,45.45454545454545,ppo,0.0,42.63757765293121,277.1442547440529,Poor,6144000,18.310290710492552,2.81696780161424,2.81696780161424,,,,periodic,0,0.0,0,-1,0.011306285858154297,-3.73095703125,3093.605712890625,4161.9794921875,0.022041594609618187,0.008047397670452483,2.100525379180908,0.9967410936951637,0.3271484375,0.11181640625,0.03220367431640625,0.006038069725036621,0.006301071996189122,0.2951204776763916,0.0022885799407958984,42.25,0.01683960203084922,3,5,1,,,,,
20260408_161550,wh8_wl4,3.0,6.5,0.0006,0.0006,none,0.0,47.61904761904763,ppo,0.0,39.91808295249939,259.46753919124603,Poor,6144000,50.05627033256354,7.700964666548238,7.700964666548238,,,,periodic,0,0.0,0,-1,0.017101287841796875,-4.333984375,9505.302734375,14306.71875,0.04165220260620117,0.010550163773586974,2.4366519451141357,0.9934488907456398,0.4931640625,0.12353515625,0.0495147705078125,0.014462680816650392,0.02221261027775149,0.1379072666168213,0.009323596954345703,41.75,0.010258856229427238,0,5,1,,,,,
20260408_192629,wh8_wl4,3.0,6.5,0.0006,0.0006,none,0.0,37.037037037037045,ppo,0.0,41.2875771522522,268.3692514896393,Poor,6144000,27.628510748898492,4.250540115215152,4.250540115215152,,,,periodic,0,0.0,0,-1,-0.0102996826171875,-4.28515625,8988.708984375,12782.2685546875,0.013100508600473404,0.006434018898289651,1.7010573148727417,1.016733705997467,0.2265625,0.0938720703125,0.040740966796875,0.009049224853515624,0.014485048880566244,0.4615694284439087,0.01710367202758789,36.0,0.0020973710343099583,0,5,1,,,,,
