lr,steps,grad_eps,tol,num_samples,init_perturb,q,theoretical_effort,final_effort,e1,e2,gap,gap_e1,gap_e2,avg_gap,symmetry_gap,iterations,final_grad,quality,efficiency_score,converged,status
0.08,500,0.2,1e-05,128,0.5,25.0,87.5,87.52334063030052,87.28121423272894,87.7654670278721,0.26546702787210563,0.2187857672710578,0.26546702787210563,0.24212639757158172,0.48425279514316344,500.0,0.001853117221799483,Excellent,0.323892307386422,False,success
0.08,500,0.5,1e-05,256,3.0,25.0,87.5,87.35588523653792,85.90312685110794,88.8086436219679,1.5968731488920582,1.5968731488920582,1.308643621967903,1.4527583854299806,2.905516770859961,500.0,0.043705962079147564,Fair,1.8974248259780544,False,success
0.08,500,1.0,0.0001,32,2.0,25.0,87.5,87.66848132973834,86.69997573945167,88.63698692002501,1.1369869200250093,0.8000242605483265,1.1369869200250093,0.9685055902866679,1.9370111805733359,500.0,0.09470858075760713,Fair,1.340688038082343,False,success
0.08,1000,0.2,0.0001,128,2.0,25.0,87.5,87.24618924423079,86.30818616581429,88.18419232264729,1.1918138341857087,1.1918138341857087,0.6841923226472915,0.9380030784165001,1.8760061568330002,1000.0,0.0705518691777468,Fair,1.3894144498690089,False,success
0.08,1000,0.5,0.001,16,1.0,25.0,87.5,88.0619072894954,87.59290575028706,88.53090882870372,1.0309088287037156,0.09290575028705916,1.0309088287037156,0.5619072894953874,0.9380030784166564,1000.0,0.07082926013561153,Fair,1.1347091365453812,False,success
0.08,1000,1.0,0.001,64,0.5,25.0,87.5,87.5009625,87.2509785,87.7509465,0.25094649999999774,0.2490214999999978,0.25094649999999774,0.24998399999999776,0.4999679999999955,1.0,0.012231250000000138,Excellent,0.3009532999999973,False,success
0.08,1500,0.2,0.001,128,3.0,25.0,87.5,87.4942691084,85.994461102256,88.994077114544,1.5055388977440032,1.5055388977440032,1.4940771145439982,1.4998080061440007,2.9996160122880013,2.0,0.0028360682000005966,Fair,1.8055138323061368,True,success
0.08,1500,0.8,1e-05,16,3.0,25.0,87.5,86.87718687929035,85.51449504156173,88.23987871701895,1.9855049584382698,1.9855049584382698,0.7398787170189536,1.3626918377286117,2.7253836754572234,1500.0,0.06831152590440842,Fair,2.268043325983992,False,success
0.08,2000,0.1,1e-05,64,2.0,25.0,87.5,86.90537750345894,86.02552772834014,87.78522727857774,1.474472271659863,1.474472271659863,0.2852272785777359,0.8798497751187995,1.759699550237599,2000.0,0.07023267671416589,Fair,1.660442226683623,False,success
0.08,2000,0.3,1e-05,256,1.0,25.0,87.5,87.29758483252095,86.8576599449617,87.73750972008023,0.6423400550383036,0.6423400550383036,0.23750972008022586,0.43992488755926473,0.8798497751185295,2000.0,0.0018307499440584074,Good,0.7403250325501566,False,success
0.08,2000,0.8,0.0001,32,0.5,25.0,87.5,87.58948480356969,87.36952235978994,87.80944724734942,0.30944724734942497,0.13047764021006003,0.30944724734942497,0.2199624437797425,0.439924887559485,2000.0,0.0018883036493128058,Excellent,0.3634397361053735,False,success
0.08,3000,0.1,0.0001,128,0.5,25.0,87.5,87.52556922883628,87.31924377943508,87.73189467823745,0.23189467823745247,0.18075622056491625,0.23189467823745247,0.20632544940118436,0.4126508988023687,3000.0,0.06686763450506561,Excellent,0.28315976811768934,False,success
0.08,3000,0.3,0.0001,256,3.0,25.0,87.5,86.6385219575858,85.40056926117757,87.87647465399402,2.0994307388224343,2.0994307388224343,0.37647465399402336,1.2379526964082288,2.4759053928164576,3000.0,0.0019419290066495047,Fair,2.35702127810408,False,success
