lr,steps,grad_eps,tol,num_samples,init_perturb,q,theoretical_effort,final_effort,e1,e2,gap,gap_e1,gap_e2,avg_gap,symmetry_gap,iterations,final_grad,quality,efficiency_score,converged,status
0.08,3000,0.8,0.001,32,2.0,25.0,87.5,87.49986874999999,86.49993275,88.49980475,1.0000672500000007,1.0000672500000007,0.9998047499999956,0.9999359999999982,1.9998719999999963,1.0,0.0024406249999994745,Fair,1.2000577833333337,True,success
0.1,500,0.1,0.001,128,1.0,25.0,87.5,87.60874034221956,87.12834639131538,88.08913429312376,0.5891342931237631,0.3716536086846247,0.5891342931237631,0.4803939509041939,0.9607879018083878,500.0,0.0704769455901455,Good,0.6952130833046019,False,success
0.1,500,0.5,1e-05,16,1.0,25.0,87.5,87.66904196937327,87.18864801846905,88.14943592027747,0.6494359202774689,0.31135198153094734,0.6494359202774689,0.4803939509042081,0.9607879018084162,500.0,0.07052519075148211,Good,0.7555147104583105,False,success
0.1,500,1.0,1e-05,64,0.5,25.0,87.5,87.43083824560507,87.19064127015278,87.67103522105737,0.3093587298472187,0.3093587298472187,0.17103522105736602,0.24019697545229235,0.4803939509045847,500.0,0.042796501896997574,Excellent,0.36739812493767715,False,success
0.1,1000,0.2,1e-05,128,3.0,25.0,87.5,86.96040704487083,85.57573695647865,88.34507713326302,1.92426304352135,1.92426304352135,0.8450771332630183,1.384670088392184,2.769340176784368,1000.0,0.07068171624390884,Fair,2.2111970611997864,False,success
0.1,1000,0.5,0.0001,16,3.0,25.0,87.5,87.21348748596833,85.82881739757617,88.59815757436047,1.6711826024238263,1.6711826024238263,1.0981575743604708,1.3846700883921486,2.769340176784297,1000.0,0.07088419679523206,Fair,1.958116620102256,False,success
0.1,1000,1.0,0.0001,64,2.0,25.0,87.5,87.05340435947451,86.13029096721306,87.97651775173597,1.3697090327869432,1.3697090327869432,0.4765177517359689,0.9231133922614561,1.8462267845229121,1000.0,0.013128067471627203,Fair,1.5643317112392345,False,success
0.1,1500,0.2,0.0001,256,1.0,25.0,87.5,87.30824477186715,86.86478668222612,87.75170286150819,0.635213317773875,0.635213317773875,0.25170286150819265,0.44345808964103384,0.8869161792820677,1500.0,0.036024556753747605,Good,0.7339049357020818,False,success
0.1,1500,0.5,0.001,32,0.5,25.0,87.5,87.1204824040953,86.89875335927444,87.34221144891616,0.601246640725563,0.601246640725563,0.15778855108383993,0.37951759590470147,0.44345808964172306,1500.0,0.06987935950789304,Good,0.6555924496897353,False,success
0.1,1500,1.0,0.001,128,0.5,25.0,87.5,87.50103896625,87.25107896464999,87.75099896785,0.25099896784999487,0.24892103535000842,0.25099896784999487,0.24996000160000165,0.4999200032000033,2.0,0.0018415715000006383,Excellent,0.3010043015033285,True,success
0.1,2000,0.2,0.001,256,3.0,25.0,87.5,87.4962541928125,85.9964941832125,88.9960142024125,1.503505816787495,1.503505816787495,1.4960142024124963,1.4997600095999957,2.9995200191999913,2.0,0.002837663375002686,Fair,1.8034678187074942,True,success
0.1,2000,0.8,1e-05,32,2.0,25.0,87.5,87.0832737599008,86.231135424928,87.93541209487361,1.2688645750720013,1.2688645750720013,0.43541209487361243,0.8521383349728069,1.7042766699456138,2000.0,0.00198911380500294,Fair,1.4492922420665628,False,success
0.1,3000,0.1,1e-05,128,1.0,25.0,87.5,86.85850643706571,86.46519628252956,87.25181659160187,1.0348037174704388,1.0348037174704388,0.24818340839813402,0.6414935629342864,0.7866203090723047,3000.0,0.06980703783630693,Fair,1.1234657483776693,False,success
0.1,3000,0.3,0.0001,16,1.0,25.0,87.5,87.99117924531524,87.5978690907788,88.38448939985169,0.8844893998516881,0.09786909077880068,0.8844893998516881,0.4911792453152444,0.7866203090728874,3000.0,0.07071324857976717,Good,0.9731514307589768,False,success
0.1,3000,0.8,0.0001,64,0.5,25.0,87.5,87.21940263951018,87.02274756224206,87.41605771677828,0.47725243775794013,0.47725243775794013,0.08394228322171671,0.2805973604898284,0.3933101545362234,3000.0,0.0015735970611877037,Excellent,0.5265834532115625,False,success
0.15,500,0.1,0.0001,128,3.0,25.0,87.5,87.39790990296873,85.98526818851849,88.81055161741898,1.5147318114815107,1.5147318114815107,1.3105516174189802,1.4126417144502454,2.825283428900491,500.0,0.07105696813010987,Fair,1.8072601543715598,False,success
0.15,500,0.3,0.001,16,2.0,25.0,87.5,86.69839593691376,85.75663479394701,87.64015707988051,1.7433652060529852,1.7433652060529852,0.14015707988050963,0.9417611429667474,1.8835222859334948,500.0,0.07012054012871971,Fair,1.9417174346463346,False,success
0.15,500,0.8,0.001,64,2.0,25.0,87.5,87.50463417992188,86.50487416552188,88.50439419432188,1.0043941943218755,0.9951258344781166,1.0043941943218755,0.9997600143999961,1.9995200287999921,2.0,0.002444433687499581,Fair,1.2043861972018748,True,success
0.15,1000,0.1,0.001,256,1.0,25.0,87.5,87.49975390624999,86.99981390625,87.99969390625,0.5001860937500027,0.5001860937500027,0.4996939062500019,0.49994000000000227,0.9998800000000045,1.0,0.0020406249999971315,Good,0.600184093750003,True,success
0.15,1000,0.5,1e-05,32,0.5,25.0,87.5,87.29465715375775,87.07292864115716,87.51638566635833,0.42707135884283787,0.42707135884283787,0.01638566635833172,0.2217285126005848,0.4434570252011696,1000.0,0.07002151111442023,Excellent,0.4814170613629548,False,success
0.15,1000,1.0,1e-05,64,3.0,25.0,87.5,86.93291800856002,85.60254693295688,88.26328908416318,1.8974530670431164,1.8974530670431164,0.7632890841631763,1.3303710756031464,2.6607421512062928,1000.0,0.013550838554261091,Fair,2.1735272821637457,False,success
0.15,1500,0.2,1e-05,256,3.0,25.0,87.5,86.60477366103683,85.351881876307,87.85766544576666,2.1481181236929956,2.1481181236929956,0.3576654457666564,1.252891784729826,2.505783569459652,1500.0,0.03426166839916145,Fair,2.4086964806389606,False,success
0.15,1500,0.5,0.0001,32,2.0,25.0,87.5,87.04165325104401,86.20639206122421,87.87691444086383,1.2936079387757928,1.2936079387757928,0.3769144408638283,0.8352611898198106,1.6705223796396211,1500.0,0.04041473611935498,Fair,1.470660176739755,False,success
0.15,1500,1.0,0.0001,128,1.0,25.0,87.5,87.24070504491073,86.82307445000079,87.65833563982066,0.6769255499992113,0.6769255499992113,0.15833563982066323,0.41763059490993726,0.8352611898198745,1500.0,0.039921330999719506,Good,0.7704516689811988,False,success
0.15,2000,0.2,0.001,16,1.0,25.0,87.5,88.03029214991915,87.63698388351912,88.42360041631919,0.9236004163191893,0.13698388351912172,0.9236004163191893,0.5302921499191555,0.7866165328000676,2000.0,0.07074737001745768,Good,1.0122620695991962,False,success
0.15,2000,0.5,0.001,64,0.5,25.0,87.5,87.4966953860592,87.30004125285922,87.69334951925917,0.19995874714078354,0.19995874714078354,0.1933495192591721,0.19665413319997782,0.39330826639995564,2000.0,0.0154690358997156,Excellent,0.24928957378077912,False,success
0.15,2000,1.0,0.001,128,3.0,25.0,87.5,87.46377930796305,85.96629734330622,88.96126127261986,1.5337026566937766,1.5337026566937766,1.4612612726198648,1.4974819646568207,2.9949639293136414,14.0,0.002809971214641882,Fair,1.8332690496251407,True,success
0.15,3000,0.3,1e-05,16,2.0,25.0,87.5,85.71347340318965,85.0158121479705,86.41113465840883,2.484187852029507,2.484187852029507,1.0888653415911733,1.78652659681034,1.3953225104383336,3000.0,0.0691372041912297,Fair,2.63372010307334,False,success
0.15,3000,0.8,1e-05,64,2.0,25.0,87.5,86.32465505540304,85.6269938001835,87.0223163106226,1.8730061998165013,1.8730061998165013,0.47768368937740036,1.1753449445969508,1.395322510439101,3000.0,0.06962620819348078,Fair,2.022538450860411,False,success
0.2,500,0.1,1e-05,256,1.0,25.0,87.5,87.13743178192097,86.67587656300566,87.59898700083627,0.8241234369943413,0.8241234369943413,0.09898700083627432,0.4615552189153078,0.9231104378306156,500.0,0.0017200898150337984,Good,0.9264344807774029,False,success
0.2,500,0.3,0.0001,32,0.5,25.0,87.5,87.56908653794628,87.33830892848853,87.79986414740402,0.2998641474040227,0.16169107151146989,0.2998641474040227,0.23077760945774628,0.46155521891549256,500.0,0.07025113149896253,Excellent,0.35601966929557194,False,success
