ts,event,queue,idx,gpu,info,cmd
2026-08-03T20:30:49+00:00,END,jobs,14,gpu0,rc=0,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_two_players.py --method ppo --q 55 --seed 43 --k 0.0006 --w_h 8 --w_l 4 --variant-name wh8_wl4 --override-conc-ramp-warmup 200 --exploit-eps 0.01 --exploit-M 65536 --episodes 6144000 --ablation-name r9_cert001"
2026-08-03T20:30:49+00:00,START,jobs,23,gpu0,,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_two_players.py --method ppo --q 55 --seed 46 --k 0.0006 --w_h 8 --w_l 4 --variant-name wh8_wl4 --override-conc-ramp-warmup 200 --exploit-eps 0.01 --exploit-M 65536 --episodes 6144000 --ablation-name r9_cert001"
2026-08-03T20:41:25+00:00,END,jobs,16,gpu4,rc=0,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_two_players.py --method ppo --q 55 --seed 44 --override-conc-ramp-warmup 200 --exploit-eps 0.01 --exploit-M 65536 --episodes 6144000 --ablation-name r9_cert001"
2026-08-03T20:41:25+00:00,START,jobs,24,gpu4,,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_two_players.py --method ppo --q 55 --seed 46 --disable-cheap-gate --override-conc-ramp-warmup 200 --exploit-eps 0.01 --exploit-M 65536 --episodes 6144000 --ablation-name r9_fig7_no_stability"
2026-08-03T20:48:30+00:00,END,jobs,19,gpu2,rc=0,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_two_players.py --method ppo --q 55 --seed 45 --override-conc-ramp-warmup 200 --exploit-eps 0.01 --exploit-M 65536 --episodes 6144000 --ablation-name r9_cert001"
2026-08-03T20:48:30+00:00,START,jobs,25,gpu2,,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_two_players.py --method ppo --q 45 --seed 42 --override-conc-ramp-warmup 200 --exploit-eps 0.01 --exploit-M 65536 --episodes 6144000 --ablation-name r9_cert001"
2026-08-03T20:50:49+00:00,END,jobs,18,gpu7,rc=0,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_two_players.py --method ppo --q 55 --seed 44 --disable-cheap-gate --override-conc-ramp-warmup 200 --exploit-eps 0.01 --exploit-M 65536 --episodes 6144000 --ablation-name r9_fig7_no_stability"
2026-08-03T20:50:49+00:00,START,jobs,26,gpu7,,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_two_players.py --method ppo --q 45 --seed 42 --k 0.0006 --w_h 8 --w_l 4 --variant-name wh8_wl4 --override-conc-ramp-warmup 200 --exploit-eps 0.01 --exploit-M 65536 --episodes 6144000 --ablation-name r9_cert001"
2026-08-03T20:51:47+00:00,END,jobs,21,gpu5,rc=0,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_two_players.py --method ppo --q 55 --seed 45 --disable-cheap-gate --override-conc-ramp-warmup 200 --exploit-eps 0.01 --exploit-M 65536 --episodes 6144000 --ablation-name r9_fig7_no_stability"
2026-08-03T20:51:47+00:00,START,jobs,27,gpu5,,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_two_players.py --method ppo --q 45 --seed 42 --disable-cheap-gate --override-conc-ramp-warmup 200 --exploit-eps 0.01 --exploit-M 65536 --episodes 6144000 --ablation-name r9_fig7_no_stability"
2026-08-03T20:53:26+00:00,END,jobs,20,gpu1,rc=0,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_two_players.py --method ppo --q 55 --seed 45 --k 0.0006 --w_h 8 --w_l 4 --variant-name wh8_wl4 --override-conc-ramp-warmup 200 --exploit-eps 0.01 --exploit-M 65536 --episodes 6144000 --ablation-name r9_cert001"
2026-08-03T20:53:26+00:00,START,jobs,28,gpu1,,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_two_players.py --method ppo --q 45 --seed 43 --override-conc-ramp-warmup 200 --exploit-eps 0.01 --exploit-M 65536 --episodes 6144000 --ablation-name r9_cert001"
2026-08-03T20:53:51+00:00,END,jobs,17,gpu3,rc=0,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_two_players.py --method ppo --q 55 --seed 44 --k 0.0006 --w_h 8 --w_l 4 --variant-name wh8_wl4 --override-conc-ramp-warmup 200 --exploit-eps 0.01 --exploit-M 65536 --episodes 6144000 --ablation-name r9_cert001"
2026-08-03T20:53:51+00:00,START,jobs,29,gpu3,,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_two_players.py --method ppo --q 45 --seed 43 --k 0.0006 --w_h 8 --w_l 4 --variant-name wh8_wl4 --override-conc-ramp-warmup 200 --exploit-eps 0.01 --exploit-M 65536 --episodes 6144000 --ablation-name r9_cert001"
2026-08-03T20:54:56+00:00,END,jobs,22,gpu6,rc=0,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_two_players.py --method ppo --q 55 --seed 46 --override-conc-ramp-warmup 200 --exploit-eps 0.01 --exploit-M 65536 --episodes 6144000 --ablation-name r9_cert001"
2026-08-03T20:54:56+00:00,START,jobs,30,gpu6,,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_two_players.py --method ppo --q 45 --seed 43 --disable-cheap-gate --override-conc-ramp-warmup 200 --exploit-eps 0.01 --exploit-M 65536 --episodes 6144000 --ablation-name r9_fig7_no_stability"
2026-08-03T20:56:44+00:00,END,jobs,23,gpu0,rc=0,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_two_players.py --method ppo --q 55 --seed 46 --k 0.0006 --w_h 8 --w_l 4 --variant-name wh8_wl4 --override-conc-ramp-warmup 200 --exploit-eps 0.01 --exploit-M 65536 --episodes 6144000 --ablation-name r9_cert001"
2026-08-03T20:56:44+00:00,START,jobs,31,gpu0,,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_two_players.py --method ppo --q 45 --seed 44 --override-conc-ramp-warmup 200 --exploit-eps 0.01 --exploit-M 65536 --episodes 6144000 --ablation-name r9_cert001"
2026-08-03T21:07:25+00:00,END,jobs,24,gpu4,rc=0,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_two_players.py --method ppo --q 55 --seed 46 --disable-cheap-gate --override-conc-ramp-warmup 200 --exploit-eps 0.01 --exploit-M 65536 --episodes 6144000 --ablation-name r9_fig7_no_stability"
2026-08-03T21:07:25+00:00,START,jobs,32,gpu4,,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_two_players.py --method ppo --q 45 --seed 44 --k 0.0006 --w_h 8 --w_l 4 --variant-name wh8_wl4 --override-conc-ramp-warmup 200 --exploit-eps 0.01 --exploit-M 65536 --episodes 6144000 --ablation-name r9_cert001"
2026-08-03T21:08:42+00:00,END,jobs,26,gpu7,rc=0,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_two_players.py --method ppo --q 45 --seed 42 --k 0.0006 --w_h 8 --w_l 4 --variant-name wh8_wl4 --override-conc-ramp-warmup 200 --exploit-eps 0.01 --exploit-M 65536 --episodes 6144000 --ablation-name r9_cert001"
2026-08-03T21:08:42+00:00,START,jobs,33,gpu7,,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_two_players.py --method ppo --q 45 --seed 44 --disable-cheap-gate --override-conc-ramp-warmup 200 --exploit-eps 0.01 --exploit-M 65536 --episodes 6144000 --ablation-name r9_fig7_no_stability"
2026-08-03T21:09:06+00:00,END,jobs,28,gpu1,rc=0,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_two_players.py --method ppo --q 45 --seed 43 --override-conc-ramp-warmup 200 --exploit-eps 0.01 --exploit-M 65536 --episodes 6144000 --ablation-name r9_cert001"
2026-08-03T21:09:06+00:00,START,jobs,34,gpu1,,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_two_players.py --method ppo --q 45 --seed 45 --override-conc-ramp-warmup 200 --exploit-eps 0.01 --exploit-M 65536 --episodes 6144000 --ablation-name r9_cert001"
2026-08-03T21:10:09+00:00,END,jobs,25,gpu2,rc=0,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_two_players.py --method ppo --q 45 --seed 42 --override-conc-ramp-warmup 200 --exploit-eps 0.01 --exploit-M 65536 --episodes 6144000 --ablation-name r9_cert001"
2026-08-03T21:10:09+00:00,START,jobs,35,gpu2,,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_two_players.py --method ppo --q 45 --seed 45 --k 0.0006 --w_h 8 --w_l 4 --variant-name wh8_wl4 --override-conc-ramp-warmup 200 --exploit-eps 0.01 --exploit-M 65536 --episodes 6144000 --ablation-name r9_cert001"
2026-08-03T21:11:35+00:00,END,jobs,27,gpu5,rc=0,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_two_players.py --method ppo --q 45 --seed 42 --disable-cheap-gate --override-conc-ramp-warmup 200 --exploit-eps 0.01 --exploit-M 65536 --episodes 6144000 --ablation-name r9_fig7_no_stability"
2026-08-03T21:11:35+00:00,START,jobs,36,gpu5,,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_two_players.py --method ppo --q 45 --seed 45 --disable-cheap-gate --override-conc-ramp-warmup 200 --exploit-eps 0.01 --exploit-M 65536 --episodes 6144000 --ablation-name r9_fig7_no_stability"
2026-08-03T21:18:29+00:00,END,jobs,30,gpu6,rc=0,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_two_players.py --method ppo --q 45 --seed 43 --disable-cheap-gate --override-conc-ramp-warmup 200 --exploit-eps 0.01 --exploit-M 65536 --episodes 6144000 --ablation-name r9_fig7_no_stability"
2026-08-03T21:18:29+00:00,START,jobs,37,gpu6,,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_two_players.py --method ppo --q 45 --seed 46 --override-conc-ramp-warmup 200 --exploit-eps 0.01 --exploit-M 65536 --episodes 6144000 --ablation-name r9_cert001"
2026-08-03T21:21:53+00:00,END,jobs,31,gpu0,rc=0,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_two_players.py --method ppo --q 45 --seed 44 --override-conc-ramp-warmup 200 --exploit-eps 0.01 --exploit-M 65536 --episodes 6144000 --ablation-name r9_cert001"
2026-08-03T21:21:53+00:00,START,jobs,38,gpu0,,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_two_players.py --method ppo --q 45 --seed 46 --k 0.0006 --w_h 8 --w_l 4 --variant-name wh8_wl4 --override-conc-ramp-warmup 200 --exploit-eps 0.01 --exploit-M 65536 --episodes 6144000 --ablation-name r9_cert001"
2026-08-03T21:24:59+00:00,END,jobs,34,gpu1,rc=0,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_two_players.py --method ppo --q 45 --seed 45 --override-conc-ramp-warmup 200 --exploit-eps 0.01 --exploit-M 65536 --episodes 6144000 --ablation-name r9_cert001"
2026-08-03T21:24:59+00:00,START,jobs,39,gpu1,,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_two_players.py --method ppo --q 45 --seed 46 --disable-cheap-gate --override-conc-ramp-warmup 200 --exploit-eps 0.01 --exploit-M 65536 --episodes 6144000 --ablation-name r9_fig7_no_stability"
2026-08-03T21:25:46+00:00,END,jobs,32,gpu4,rc=0,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_two_players.py --method ppo --q 45 --seed 44 --k 0.0006 --w_h 8 --w_l 4 --variant-name wh8_wl4 --override-conc-ramp-warmup 200 --exploit-eps 0.01 --exploit-M 65536 --episodes 6144000 --ablation-name r9_cert001"
2026-08-03T21:25:46+00:00,START,jobs,40,gpu4,,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_two_players.py --method ppo --q 35 --seed 42 --override-conc-ramp-warmup 200 --exploit-eps 0.01 --exploit-M 65536 --episodes 6144000 --ablation-name r9_cert001"
2026-08-03T21:29:01+00:00,END,jobs,36,gpu5,rc=0,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_two_players.py --method ppo --q 45 --seed 45 --disable-cheap-gate --override-conc-ramp-warmup 200 --exploit-eps 0.01 --exploit-M 65536 --episodes 6144000 --ablation-name r9_fig7_no_stability"
2026-08-03T21:29:01+00:00,START,jobs,41,gpu5,,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_two_players.py --method ppo --q 35 --seed 42 --k 0.0006 --w_h 8 --w_l 4 --variant-name wh8_wl4 --override-conc-ramp-warmup 200 --exploit-eps 0.01 --exploit-M 65536 --episodes 6144000 --ablation-name r9_cert001"
2026-08-03T21:30:29+00:00,END,jobs,29,gpu3,rc=0,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_two_players.py --method ppo --q 45 --seed 43 --k 0.0006 --w_h 8 --w_l 4 --variant-name wh8_wl4 --override-conc-ramp-warmup 200 --exploit-eps 0.01 --exploit-M 65536 --episodes 6144000 --ablation-name r9_cert001"
2026-08-03T21:30:29+00:00,START,jobs,42,gpu3,,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_two_players.py --method ppo --q 35 --seed 42 --disable-cheap-gate --override-conc-ramp-warmup 200 --exploit-eps 0.01 --exploit-M 65536 --episodes 6144000 --ablation-name r9_fig7_no_stability"
2026-08-03T21:30:36+00:00,END,jobs,33,gpu7,rc=0,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_two_players.py --method ppo --q 45 --seed 44 --disable-cheap-gate --override-conc-ramp-warmup 200 --exploit-eps 0.01 --exploit-M 65536 --episodes 6144000 --ablation-name r9_fig7_no_stability"
2026-08-03T21:30:36+00:00,START,jobs,43,gpu7,,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_two_players.py --method ppo --q 35 --seed 43 --override-conc-ramp-warmup 200 --exploit-eps 0.01 --exploit-M 65536 --episodes 6144000 --ablation-name r9_cert001"
2026-08-03T21:38:21+00:00,END,jobs,35,gpu2,rc=0,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_two_players.py --method ppo --q 45 --seed 45 --k 0.0006 --w_h 8 --w_l 4 --variant-name wh8_wl4 --override-conc-ramp-warmup 200 --exploit-eps 0.01 --exploit-M 65536 --episodes 6144000 --ablation-name r9_cert001"
2026-08-03T21:38:21+00:00,START,jobs,44,gpu2,,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_two_players.py --method ppo --q 35 --seed 43 --k 0.0006 --w_h 8 --w_l 4 --variant-name wh8_wl4 --override-conc-ramp-warmup 200 --exploit-eps 0.01 --exploit-M 65536 --episodes 6144000 --ablation-name r9_cert001"
2026-08-03T21:39:44+00:00,END,jobs,38,gpu0,rc=0,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_two_players.py --method ppo --q 45 --seed 46 --k 0.0006 --w_h 8 --w_l 4 --variant-name wh8_wl4 --override-conc-ramp-warmup 200 --exploit-eps 0.01 --exploit-M 65536 --episodes 6144000 --ablation-name r9_cert001"
2026-08-03T21:39:44+00:00,START,jobs,45,gpu0,,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_two_players.py --method ppo --q 35 --seed 43 --disable-cheap-gate --override-conc-ramp-warmup 200 --exploit-eps 0.01 --exploit-M 65536 --episodes 6144000 --ablation-name r9_fig7_no_stability"
2026-08-03T21:41:51+00:00,END,jobs,37,gpu6,rc=0,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_two_players.py --method ppo --q 45 --seed 46 --override-conc-ramp-warmup 200 --exploit-eps 0.01 --exploit-M 65536 --episodes 6144000 --ablation-name r9_cert001"
2026-08-03T21:41:51+00:00,START,jobs,46,gpu6,,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_two_players.py --method ppo --q 35 --seed 44 --override-conc-ramp-warmup 200 --exploit-eps 0.01 --exploit-M 65536 --episodes 6144000 --ablation-name r9_cert001"
