q,k,l1,l2,w_h,w_l,seed,theoretical_effort,final_effort,gap,p1_win,method,episodes,converged
25.0,0.0004,10.0,5.0,6.5,3.0,456,78.75,73.86733293533325,4.882667064666748,0.595,ppo,6144000,True
40.0,0.0004,10.0,5.0,6.5,3.0,456,51.26953125,49.58233833312988,1.6871929168701172,0.560546875,ppo,6144000,True
55.0,0.0004,10.0,5.0,6.5,3.0,456,37.964876033057855,37.18409240245819,0.7807836305996645,0.5444214876033058,ppo,6144000,True
25.0,0.0004,10.0,5.0,6.5,3.0,42,78.75,74.39446449279785,4.355535507202148,0.595,ppo,6144000,True
40.0,0.0004,10.0,5.0,6.5,3.0,42,51.26953125,48.631420731544495,2.6381105184555054,0.560546875,ppo,6144000,True
55.0,0.0004,10.0,5.0,6.5,3.0,42,37.964876033057855,37.011247873306274,0.953628159751581,0.5444214876033058,ppo,6144000,True
25.0,0.0004,10.0,5.0,6.5,3.0,123,78.75,73.5897958278656,5.160204172134399,0.595,ppo,6144000,True
40.0,0.0004,10.0,5.0,6.5,3.0,123,51.26953125,49.434858560562134,1.8346726894378662,0.560546875,ppo,6144000,True
55.0,0.0004,10.0,5.0,6.5,3.0,123,37.964876033057855,37.196603417396545,0.76827261566131,0.5444214876033058,ppo,6144000,True
25.0,0.0004,10.0,5.0,6.5,3.0,1024,78.75,72.01421856880188,6.73578143119812,0.595,ppo,6144000,True
40.0,0.0004,10.0,5.0,6.5,3.0,1024,51.26953125,48.02199602127075,3.247535228729248,0.560546875,ppo,6144000,True
55.0,0.0004,10.0,5.0,6.5,3.0,1024,37.964876033057855,35.491982102394104,2.4728939306637514,0.5444214876033058,ppo,6144000,True
25.0,0.0004,10.0,5.0,6.5,3.0,123,78.75,74.06193017959595,4.688069820404053,0.595,ppo,6144000,True
40.0,0.0004,10.0,5.0,6.5,3.0,123,51.26953125,49.106985330581665,2.162545919418335,0.560546875,ppo,6144000,True
55.0,0.0004,10.0,5.0,6.5,3.0,123,37.964876033057855,36.526474356651306,1.4384016764065493,0.5444214876033058,ppo,6144000,True
25.0,0.0004,10.0,5.0,6.5,3.0,456,78.75,73.63428473472595,5.115715265274048,0.595,ppo,6144000,True
40.0,0.0004,10.0,5.0,6.5,3.0,456,51.26953125,48.05656671524048,3.2129645347595215,0.560546875,ppo,6144000,True
55.0,0.0004,10.0,5.0,6.5,3.0,456,37.964876033057855,36.18354797363281,1.781328059425043,0.5444214876033058,ppo,6144000,True
25.0,0.0004,10.0,5.0,6.5,3.0,789,78.75,74.51335787773132,4.236642122268677,0.595,ppo,6144000,True
40.0,0.0004,10.0,5.0,6.5,3.0,789,51.26953125,50.92630386352539,0.3432273864746094,0.560546875,ppo,6144000,True
55.0,0.0004,10.0,5.0,6.5,3.0,789,37.964876033057855,38.27872574329376,0.3138497102359068,0.5444214876033058,ppo,6144000,True
25.0,0.0004,10.0,5.0,6.5,3.0,42,78.75,73.5450029373169,5.2049970626831055,0.595,ppo,6144000,True
40.0,0.0004,10.0,5.0,6.5,3.0,42,51.26953125,48.011258244514465,3.2582730054855347,0.560546875,ppo,6144000,True
55.0,0.0004,10.0,5.0,6.5,3.0,42,37.964876033057855,35.92081367969513,2.044062353362726,0.5444214876033058,ppo,6144000,True
55.0,0.0004,10.0,5.0,6.5,3.0,42,37.964876033057855,35.508036613464355,2.4568394195935,0.5444214876033058,ppo,6144000,True
55.0,0.0004,10.0,5.0,6.5,3.0,123,37.964876033057855,37.58426010608673,0.38061592697112445,0.5444214876033058,ppo,6144000,True
55.0,0.0004,10.0,5.0,6.5,3.0,789,37.964876033057855,33.97867977619171,3.986196256866144,0.5444214876033058,ppo,6144000,False
55.0,0.0004,10.0,5.0,6.5,3.0,456,37.964876033057855,38.04977238178253,0.08489634872467633,0.5444214876033058,ppo,6144000,True
55.0,0.0004,10.0,5.0,6.5,3.0,1024,37.964876033057855,35.90846359729767,2.056412435760187,0.5444214876033058,ppo,6144000,True
40.0,0.0004,10.0,5.0,6.5,3.0,789,51.26953125,48.604074120521545,2.6654571294784546,0.560546875,ppo,6144000,True
40.0,0.0004,10.0,5.0,6.5,3.0,1024,51.26953125,47.65605330467224,3.613477945327759,0.560546875,ppo,6144000,True
40.0,0.0004,10.0,5.0,6.5,3.0,456,51.26953125,49.40207004547119,1.8674612045288086,0.560546875,ppo,6144000,True
40.0,0.0004,10.0,5.0,6.5,3.0,123,51.26953125,48.85356426239014,2.4159669876098633,0.560546875,ppo,6144000,True
40.0,0.0004,10.0,5.0,6.5,3.0,42,51.26953125,47.27453887462616,3.9949923753738403,0.560546875,ppo,6144000,True
25.0,0.0004,10.0,5.0,6.5,3.0,42,78.75,75.69188475608826,3.058115243911743,0.595,ppo,6144000,True
25.0,0.0004,10.0,5.0,6.5,3.0,123,78.75,72.87322878837585,5.8767712116241455,0.595,ppo,6144000,True
25.0,0.0004,10.0,5.0,6.5,3.0,1024,78.75,74.22060370445251,4.529396295547485,0.595,ppo,6144000,True
25.0,0.0004,10.0,5.0,6.5,3.0,456,78.75,77.08327770233154,1.666722297668457,0.595,ppo,6144000,True
25.0,0.0004,10.0,5.0,6.5,3.0,789,78.75,74.33407306671143,4.415926933288574,0.595,ppo,6144000,True
35.0,0.0004,10.0,5.0,6.5,3.0,789,58.03571428571428,52.08251476287842,5.95319952283586,0.5688775510204082,ppo,6144000,False
35.0,0.0004,10.0,5.0,6.5,3.0,123,58.03571428571428,52.76058316230774,5.275131123406538,0.5688775510204082,ppo,6144000,True
35.0,0.0004,10.0,5.0,6.5,3.0,42,58.03571428571428,52.41273641586304,5.6229778698512405,0.5688775510204082,ppo,6144000,True
35.0,0.0004,10.0,5.0,6.5,3.0,1024,58.03571428571428,52.62607932090759,5.409634964806685,0.5688775510204082,ppo,6144000,True
35.0,0.0004,10.0,5.0,6.5,3.0,456,58.03571428571428,52.2865355014801,5.749178784234175,0.5688775510204082,ppo,6144000,True
35.0,0.0004,10.0,5.0,6.5,3.0,42,58.03571428571428,55.246102809906006,2.7896114758082717,0.5688775510204082,ppo,6144000,True
35.0,0.0004,10.0,5.0,6.5,3.0,789,58.03571428571428,55.349165201187134,2.686549084527144,0.5688775510204082,ppo,6144000,True
35.0,0.0004,10.0,5.0,6.5,3.0,123,58.03571428571428,56.201380491256714,1.8343337944575637,0.5688775510204082,ppo,6144000,True
35.0,0.0004,10.0,5.0,6.5,3.0,456,58.03571428571428,55.55205941200256,2.483654873711714,0.5688775510204082,ppo,6144000,True
35.0,0.0004,10.0,5.0,6.5,3.0,1024,58.03571428571428,55.23715615272522,2.798558132989058,0.5688775510204082,ppo,6144000,True
