q,k1,k2,w_h,w_l,seed,theoretical_effort1,theoretical_effort2,final_effort1,final_effort2,gap1,gap2,max_gap,method,episodes,converged
40.0,0.0004,0.00055,6.5,3.0,123,46.093983837174505,33.52289733612691,39.633262157440186,28.834784030914307,6.46072167973432,4.688113305212603,6.46072167973432,ppo,2048000,False
40.0,0.0004,0.00055,6.5,3.0,42,46.093983837174505,33.52289733612691,45.67764401435852,31.723210215568542,0.4163398228159849,1.7996871205583673,1.7996871205583673,ppo,2048000,True
40.0,0.0004,0.00055,6.5,3.0,123,46.093983837174505,33.52289733612691,41.28921329975128,29.82020378112793,4.804770537423224,3.70269355499898,4.804770537423224,ppo,2048000,False
40.0,0.0004,0.00055,6.5,3.0,123,46.093983837174505,33.52289733612691,44.88203227519989,31.665882468223572,1.2119515619746153,1.857014867903338,1.857014867903338,ppo,2048000,True
40.0,0.0004,0.00055,6.5,3.0,42,46.093983837174505,33.52289733612691,43.90830993652344,33.12236666679382,2.185673900651068,0.40053066933308656,2.185673900651068,ppo,2048000,True
40.0,0.0004,0.00055,6.5,3.0,123,46.093983837174505,33.52289733612691,43.62456798553467,31.185638904571533,2.4694158516398375,2.3372584315553766,2.4694158516398375,ppo,2048000,True
40.0,0.0004,0.00055,6.5,3.0,123,46.093983837174505,33.52289733612691,44.47106719017029,33.1043004989624,1.6229166470042173,0.41859683716450746,1.6229166470042173,ppo,2048000,True
40.0,0.0004,0.00055,6.5,3.0,456,46.093983837174505,33.52289733612691,41.01632833480835,28.19451093673706,5.077655502366156,5.328386399389849,5.328386399389849,ppo,2048000,False
40.0,0.0004,0.00055,6.5,3.0,456,46.093983837174505,33.52289733612691,39.012411236763,28.821060061454773,7.081572600411505,4.701837274672137,7.081572600411505,ppo,2048000,False
40.0,0.0004,0.00055,6.5,3.0,456,46.093983837174505,33.52289733612691,44.70016062259674,32.65724182128906,1.3938232145777647,0.8656555148378473,1.3938232145777647,ppo,2048000,True
40.0,0.0004,0.00055,6.5,3.0,123,46.093983837174505,33.52289733612691,44.92547810077667,31.43826723098755,1.168505736397833,2.084630105139361,2.084630105139361,ppo,2048000,True
40.0,0.0004,0.00055,6.5,3.0,123,46.093983837174505,33.52289733612691,44.604429602622986,32.70984888076782,1.4895542345515196,0.8130484553590875,1.4895542345515196,ppo,2048000,True
40.0,0.0004,0.00055,6.5,3.0,123,46.093983837174505,33.52289733612691,45.315349102020264,33.05804431438446,0.7786347351542418,0.46485302174244936,0.7786347351542418,ppo,2048000,True
55.0,0.0004,0.00055,6.5,3.0,42,36.202769704222945,26.329287057616686,34.01840627193451,24.225789308547974,2.1843634322884355,2.103497749068712,2.1843634322884355,ppo,2048000,True
40.0,0.0004,0.00055,6.5,3.0,456,46.093983837174505,33.52289733612691,44.48294639587402,32.85088539123535,1.611037441300482,0.6720119448915582,1.611037441300482,ppo,2048000,True
40.0,0.0004,0.00055,6.5,3.0,456,46.093983837174505,33.52289733612691,43.52841079235077,31.27645254135132,2.5655730448237364,2.2464447947755914,2.5655730448237364,ppo,2048000,True
55.0,0.0004,0.00055,6.5,3.0,42,36.202769704222945,26.329287057616686,32.429227232933044,22.721746563911438,3.7735424712899004,3.6075404937052475,3.7735424712899004,ppo,2048000,False
55.0,0.0004,0.00055,6.5,3.0,42,36.202769704222945,26.329287057616686,29.38375473022461,22.05270230770111,6.8190149739983354,4.276584749915575,6.8190149739983354,ppo,2048000,False
40.0,0.0004,0.00055,6.5,3.0,456,46.093983837174505,33.52289733612691,46.60743772983551,33.523184061050415,0.5134538926610048,0.0002867249235052327,0.5134538926610048,ppo,2048000,True
40.0,0.0004,0.00055,6.5,3.0,456,46.093983837174505,33.52289733612691,45.97579836845398,33.81357789039612,0.11818546872052593,0.29068055426920836,0.29068055426920836,ppo,2048000,True
40.0,0.0004,0.00055,6.5,3.0,456,46.093983837174505,33.52289733612691,43.18794012069702,31.83039128780365,2.906043716477484,1.69250604832326,2.906043716477484,ppo,2048000,True
55.0,0.0004,0.00055,6.5,3.0,42,36.202769704222945,26.329287057616686,33.15722346305847,23.982565104961395,3.045546241164473,2.3467219526552903,3.045546241164473,ppo,2048000,True
55.0,0.0004,0.00055,6.5,3.0,123,36.202769704222945,26.329287057616686,31.829389929771423,23.13714325428009,4.3733797744515215,3.192143803336595,4.3733797744515215,ppo,2048000,False
55.0,0.0004,0.00055,6.5,3.0,123,36.202769704222945,26.329287057616686,33.27013552188873,24.181507527828217,2.932634182334212,2.147779529788469,2.932634182334212,ppo,2048000,True
55.0,0.0004,0.00055,6.5,3.0,42,36.202769704222945,26.329287057616686,34.87091064453125,24.213385581970215,1.3318590596916948,2.1159014756464707,2.1159014756464707,ppo,2048000,True
55.0,0.0004,0.00055,6.5,3.0,42,36.202769704222945,26.329287057616686,36.531949043273926,25.474557280540466,0.32917933905098096,0.8547297770762192,0.8547297770762192,ppo,2048000,True
55.0,0.0004,0.00055,6.5,3.0,123,36.202769704222945,26.329287057616686,31.028172373771667,22.74481952190399,5.174597330451277,3.584467535712694,5.174597330451277,ppo,2048000,False
55.0,0.0004,0.00055,6.5,3.0,42,36.202769704222945,26.329287057616686,34.269434213638306,25.525444746017456,1.9333354905846392,0.8038423115992295,1.9333354905846392,ppo,2048000,True
55.0,0.0004,0.00055,6.5,3.0,123,36.202769704222945,26.329287057616686,33.20360481739044,23.58696758747101,2.999164886832503,2.7423194701456772,2.999164886832503,ppo,2048000,True
55.0,0.0004,0.00055,6.5,3.0,123,36.202769704222945,26.329287057616686,33.79545211791992,24.99329000711441,2.407317586303023,1.3359970505022751,2.407317586303023,ppo,2048000,True
55.0,0.0004,0.00055,6.5,3.0,123,36.202769704222945,26.329287057616686,33.63935351371765,24.456708133220673,2.5634161905052935,1.872578924396013,2.5634161905052935,ppo,2048000,True
55.0,0.0004,0.00055,6.5,3.0,42,36.202769704222945,26.329287057616686,35.683873295784,25.397226214408875,0.5188964084389482,0.932060843207811,0.932060843207811,ppo,2048000,True
55.0,0.0004,0.00055,6.5,3.0,456,36.202769704222945,26.329287057616686,34.12790298461914,23.518134653568268,2.074866719603804,2.8111524040484177,2.8111524040484177,ppo,2048000,True
55.0,0.0004,0.00055,6.5,3.0,456,36.202769704222945,26.329287057616686,31.045907735824585,23.00609201192856,5.15686196839836,3.323195045688127,5.15686196839836,ppo,2048000,False
55.0,0.0004,0.00055,6.5,3.0,456,36.202769704222945,26.329287057616686,31.625935435295105,22.432050108909607,4.57683426892784,3.8972369487070786,4.57683426892784,ppo,2048000,False
55.0,0.0004,0.00055,6.5,3.0,123,36.202769704222945,26.329287057616686,35.37822365760803,25.900301337242126,0.8245460466149126,0.42898572037455907,0.8245460466149126,ppo,2048000,True
55.0,0.0004,0.00055,6.5,3.0,456,36.202769704222945,26.329287057616686,33.535802364349365,24.730584025382996,2.6669673398735796,1.59870303223369,2.6669673398735796,ppo,2048000,True
55.0,0.0004,0.00055,6.5,3.0,456,36.202769704222945,26.329287057616686,34.11073684692383,24.633407592773438,2.0920328572991167,1.695879464843248,2.0920328572991167,ppo,2048000,True
55.0,0.0004,0.00055,6.5,3.0,456,36.202769704222945,26.329287057616686,33.4053635597229,24.728989601135254,2.7974061445000444,1.6002974564814316,2.7974061445000444,ppo,2048000,True
55.0,0.0004,0.00055,6.5,3.0,456,36.202769704222945,26.329287057616686,34.80155169963837,25.321176648139954,1.4012180045845781,1.008110409476732,1.4012180045845781,ppo,2048000,True
55.0,0.0004,0.00055,6.5,3.0,123,36.202769704222945,26.329287057616686,35.734930634498596,25.858479738235474,0.46783906972434863,0.4708073193812119,0.4708073193812119,ppo,2048000,True
55.0,0.0004,0.00055,6.5,3.0,456,36.202769704222945,26.329287057616686,36.47831082344055,26.302120089530945,0.27554111921760693,0.027166968085740706,0.27554111921760693,ppo,2048000,True
25.0,0.0004,0.00055,6.5,3.0,456,59.230769230769226,43.07692307692308,59.02398228645325,46.5707391500473,0.20678694431597933,3.493816073124222,3.493816073124222,ppo,6144000,True
40.0,0.0004,0.00055,6.5,3.0,456,46.093983837174505,33.52289733612691,45.59004306793213,32.84892737865448,0.5039407692423765,0.6739699574724298,0.6739699574724298,ppo,6144000,True
55.0,0.0004,0.00055,6.5,3.0,456,36.202769704222945,26.329287057616686,36.45447790622711,25.893139839172363,0.251708202004167,0.43614721844432225,0.43614721844432225,ppo,6144000,True
25.0,0.0004,0.00055,6.5,3.0,1024,59.230769230769226,43.07692307692308,58.22451114654541,41.09136462211609,1.0062580842238162,1.9855584548069913,1.9855584548069913,ppo,6144000,True
40.0,0.0004,0.00055,6.5,3.0,1024,46.093983837174505,33.52289733612691,44.82333958148956,32.1854293346405,1.2706442556849424,1.3374680014864069,1.3374680014864069,ppo,6144000,True
55.0,0.0004,0.00055,6.5,3.0,1024,36.202769704222945,26.329287057616686,35.8972430229187,25.472751259803772,0.30552668130424365,0.8565357978129136,0.8565357978129136,ppo,6144000,True
25.0,0.0004,0.00055,6.5,3.0,123,59.230769230769226,43.07692307692308,58.722907304763794,43.442732095718384,0.5078619260054325,0.3658090187953036,0.5078619260054325,ppo,6144000,True
40.0,0.0004,0.00055,6.5,3.0,123,46.093983837174505,33.52289733612691,45.938146114349365,32.91577398777008,0.1558377228251402,0.6071233483568292,0.6071233483568292,ppo,6144000,True
55.0,0.0004,0.00055,6.5,3.0,123,36.202769704222945,26.329287057616686,36.27890348434448,25.63214600086212,0.0761337801215376,0.697141056754564,0.697141056754564,ppo,6144000,True
25.0,0.0004,0.00055,6.5,3.0,789,59.230769230769226,43.07692307692308,58.19619297981262,40.363919734954834,1.0345762509566043,2.713003341968246,2.713003341968246,ppo,6144000,True
40.0,0.0004,0.00055,6.5,3.0,789,46.093983837174505,33.52289733612691,45.244139432907104,33.179453015327454,0.8498444042674009,0.3434443207994562,0.8498444042674009,ppo,6144000,True
55.0,0.0004,0.00055,6.5,3.0,789,36.202769704222945,26.329287057616686,35.6772780418396,26.023808121681213,0.5254916623833452,0.30547893593547215,0.5254916623833452,ppo,6144000,True
25.0,0.0004,0.00055,6.5,3.0,42,59.230769230769226,43.07692307692308,57.80884027481079,44.33310925960541,1.4219289559584354,1.2561861826823275,1.4219289559584354,ppo,6144000,True
40.0,0.0004,0.00055,6.5,3.0,42,46.093983837174505,33.52289733612691,45.757871866226196,33.411139249801636,0.33611197094830914,0.11175808632527406,0.33611197094830914,ppo,6144000,True
55.0,0.0004,0.00055,6.5,3.0,42,36.202769704222945,26.329287057616686,36.16849482059479,26.417484879493713,0.03427488362815723,0.08819782187702785,0.08819782187702785,ppo,6144000,True
