step,method,q,seed,ablation,drift_effort
49152,TEL-PPO,25.0,1024,baseline,
53248,TEL-PPO,25.0,1024,baseline,
53248,TEL-PPO,25.0,1024,baseline,
53248,TEL-PPO,25.0,1024,baseline,
57344,TEL-PPO,25.0,1024,baseline,
57344,TEL-PPO,25.0,1024,baseline,
57344,TEL-PPO,25.0,1024,baseline,
61440,TEL-PPO,25.0,1024,baseline,
61440,TEL-PPO,25.0,1024,baseline,
61440,TEL-PPO,25.0,1024,baseline,
65536,TEL-PPO,25.0,1024,baseline,
65536,TEL-PPO,25.0,1024,baseline,
65536,TEL-PPO,25.0,1024,baseline,
69632,TEL-PPO,25.0,1024,baseline,
69632,TEL-PPO,25.0,1024,baseline,
69632,TEL-PPO,25.0,1024,baseline,
73728,TEL-PPO,25.0,1024,baseline,
73728,TEL-PPO,25.0,1024,baseline,
73728,TEL-PPO,25.0,1024,baseline,
77824,TEL-PPO,25.0,1024,baseline,
77824,TEL-PPO,25.0,1024,baseline,
77824,TEL-PPO,25.0,1024,baseline,
81920,TEL-PPO,25.0,1024,baseline,
81920,TEL-PPO,25.0,1024,baseline,
81920,TEL-PPO,25.0,1024,baseline,
86016,TEL-PPO,25.0,1024,baseline,
86016,TEL-PPO,25.0,1024,baseline,
86016,TEL-PPO,25.0,1024,baseline,
90112,TEL-PPO,25.0,1024,baseline,
90112,TEL-PPO,25.0,1024,baseline,
90112,TEL-PPO,25.0,1024,baseline,
94208,TEL-PPO,25.0,1024,baseline,
94208,TEL-PPO,25.0,1024,baseline,
94208,TEL-PPO,25.0,1024,baseline,
98304,TEL-PPO,25.0,1024,baseline,
98304,TEL-PPO,25.0,1024,baseline,
98304,TEL-PPO,25.0,1024,baseline,
102400,TEL-PPO,25.0,1024,baseline,
102400,TEL-PPO,25.0,1024,baseline,
102400,TEL-PPO,25.0,1024,baseline,
106496,TEL-PPO,25.0,1024,baseline,
106496,TEL-PPO,25.0,1024,baseline,
106496,TEL-PPO,25.0,1024,baseline,
110592,TEL-PPO,25.0,1024,baseline,
110592,TEL-PPO,25.0,1024,baseline,
