Episode,Effort,Reward,Loss
304,54.44,3.17,3.3448
305,54.14,3.13,2.8903
306,52.81,3.16,5.9021
307,54.8,3.27,3.5213
308,53.58,3.25,3.8448
309,54.13,3.13,2.9429
310,55.13,3.24,3.9542
311,53.82,3.25,3.563
312,53.49,3.23,4.4119
313,53.93,3.15,3.2549
314,54.99,3.2,3.5739
315,55.78,3.22,6.2491
316,54.53,3.11,2.8836
317,55.47,3.17,4.5198
318,54.77,3.25,3.0599
319,55.22,3.22,3.4621
320,54.68,3.26,3.0048
321,55.05,3.18,2.9726
322,54.47,3.21,3.3614
323,54.37,3.14,3.5766
324,56.33,3.16,5.4333
325,55.05,3.15,2.9123
326,55.23,3.15,2.8964
327,54.6,3.28,3.7758
328,55.06,3.23,3.0667
329,55.4,3.15,2.9064
330,54.69,3.15,3.5289
331,56.42,3.18,4.8672
332,54.0,3.09,5.6664
333,56.57,3.24,5.5056
334,54.18,3.26,5.2578
335,54.52,3.26,4.0715
336,55.54,3.14,3.0015
337,53.94,3.18,5.5549
338,55.72,3.24,3.5585
339,55.12,3.19,2.9338
340,55.67,3.25,3.7038
341,52.98,3.17,9.3372
342,55.78,3.14,4.1401
343,56.03,3.27,5.376
344,54.73,3.29,3.0434
345,54.7,3.06,2.8397
346,54.24,3.24,3.5597
347,55.86,3.34,4.9084
348,55.43,3.18,3.5112
349,54.16,3.13,3.6662
350,56.17,3.32,5.7774
351,56.74,3.27,8.1994
352,57.18,3.14,9.6411
353,56.67,3.26,5.8984
354,55.02,3.1,3.3851
355,54.65,3.23,5.1861
356,57.08,3.26,5.0728
357,57.42,3.21,5.6021
358,56.4,3.35,3.0785
359,57.08,3.29,3.491
360,57.56,3.29,4.0707
361,56.93,3.3,3.0338
362,57.63,3.32,3.39
363,58.37,3.29,4.6392
364,58.68,3.35,5.0204
365,57.98,3.24,2.9959
366,57.01,3.22,4.8857
367,58.96,3.3,3.8461
368,59.25,3.34,4.1602
369,58.29,3.42,3.3589
370,59.34,3.24,3.4429
371,58.57,3.38,3.3891
372,58.0,3.31,5.0862
373,59.12,3.33,3.067
374,59.48,3.32,3.1525
375,60.84,3.48,7.3232
376,58.82,3.38,3.7443
377,59.78,3.43,3.2588
378,60.33,3.34,3.8856
379,61.56,3.38,8.6354
380,59.75,3.34,3.1267
381,59.32,3.48,4.2744
382,60.02,3.4,3.1878
383,60.11,3.57,3.3471
384,60.66,3.43,3.2873
385,59.51,3.52,4.8183
386,59.15,3.34,6.0076
387,59.45,3.49,4.9011
388,58.86,3.43,6.9509
389,59.48,3.48,4.0707
390,62.0,3.43,9.8719
391,60.68,3.54,4.188
392,59.48,3.62,3.7142
393,59.59,3.52,3.4058
394,60.35,3.5,3.6486
395,60.48,3.44,3.8745
396,60.06,3.59,3.3772
397,60.17,3.55,3.4252
398,58.51,3.45,6.5203
399,60.06,3.55,3.3328
400,60.44,3.45,3.7873
401,60.98,3.56,5.5028
402,59.1,3.52,4.4199
403,58.27,3.41,7.905
404,60.73,3.52,4.5409
405,59.17,3.63,4.2017
406,60.03,3.44,3.2429
407,62.21,3.57,13.8954
408,59.14,3.62,4.2711
409,59.84,3.61,3.3252
410,58.15,3.56,9.0304
411,60.07,3.45,3.2223
412,60.03,3.45,3.2235
413,61.41,3.55,7.7681
414,60.29,3.43,3.4559
415,58.84,3.56,5.4295
416,59.21,3.64,4.3307
417,61.1,3.4,5.5155
418,60.98,3.54,5.1704
419,59.49,3.33,3.5309
420,62.26,3.42,11.3445
421,60.85,3.52,3.9457
422,61.03,3.52,4.0055
423,62.06,3.4,7.0118
424,60.61,3.48,3.2525
425,59.79,3.42,5.5311
426,61.91,3.52,4.4014
427,61.2,3.45,3.1713
428,59.35,3.5,10.4597
429,60.6,3.5,4.3618
430,59.69,3.43,8.0534
431,63.4,3.44,10.8457
432,60.63,3.39,3.8777
433,61.92,3.42,3.8566
434,62.15,3.51,4.5151
435,61.98,3.43,3.8498
436,62.44,3.5,5.0641
437,61.04,3.43,3.5684
438,61.59,3.49,3.207
439,60.41,3.49,6.0604
440,61.47,3.44,3.2454
441,62.31,3.57,3.9659
442,64.62,3.44,17.7206
443,63.57,3.44,8.1265
444,62.58,3.49,3.6246
445,63.04,3.35,3.9718
446,62.9,3.52,3.4699
447,63.32,3.47,3.7281
448,62.77,3.57,3.3641
449,62.76,3.52,3.5488
450,62.13,3.58,5.887
451,64.93,3.56,7.3402
452,62.2,3.54,6.5205
453,63.7,3.46,3.1885
454,64.7,3.56,5.0624
455,63.08,3.47,4.0718
456,64.88,3.55,5.1272
457,63.58,3.55,3.5226
458,64.32,3.53,3.3845
459,63.64,3.61,3.7234
460,63.01,3.74,5.9404
461,65.93,3.58,8.9725
462,65.3,3.56,5.3365
463,64.27,3.48,3.2106
464,64.12,3.62,3.5142
465,65.69,3.53,5.6637
466,62.64,3.59,10.4892
467,65.26,3.56,3.9286
468,64.81,3.56,3.2964
469,64.92,3.62,3.3821
470,64.33,3.69,3.783
471,66.91,3.56,11.1383
472,64.96,3.55,3.2667
473,64.6,3.67,3.7038
474,65.19,3.56,3.2825
475,63.89,3.58,6.2179
476,65.75,3.69,4.0011
477,65.49,3.61,3.4609
478,63.17,3.63,11.1932
479,64.63,3.55,3.8131
480,63.09,3.73,11.0571
481,64.41,3.54,3.7669
482,63.28,3.58,7.2501
483,63.39,3.66,5.8457
484,64.85,3.69,3.9534
485,64.27,3.69,3.4591
486,65.19,3.69,6.4008
487,63.81,3.64,3.347
488,64.54,3.71,4.6344
489,62.77,3.57,4.7731
490,64.86,3.75,6.4192
491,62.89,3.73,4.3675
492,62.77,3.66,4.4963
493,61.58,3.64,9.8851
494,63.45,3.65,3.3865
495,63.17,3.75,3.4457
496,63.48,3.72,3.748
497,62.01,3.65,5.0455
498,60.76,3.7,11.4878
499,62.99,3.73,3.6597
500,62.18,3.83,3.6665
501,63.5,3.79,6.2684
502,61.58,3.84,4.2368
503,64.08,3.79,11.1113
504,62.02,3.82,3.5166
505,61.82,3.74,3.5484
506,61.08,3.91,5.4138
507,61.8,3.86,3.6115
508,61.0,3.84,5.1375
509,61.91,3.74,3.4564
510,61.51,3.78,3.5561
511,60.42,3.84,6.3026
512,60.26,3.79,6.2894
513,60.33,3.87,5.3618
514,60.86,3.83,3.6041
515,59.91,3.86,5.3276
516,60.75,3.84,3.5499
517,61.66,3.98,6.6679
518,61.61,3.93,6.9664
519,62.5,3.8,13.0157
520,58.76,3.82,8.2727
521,58.69,3.72,8.3727
