Episode,Effort,Raw_Reward,Normalized_Reward,Loss,Baseline,LR,Std_Dev
109,26.55,5.0895,1.5273,7.3205,0.0,0.000100,0.4732
110,100.0,0.75,-2.5085,-13.5586,0.0,0.000100,0.473
111,39.4,2.732,-0.6676,-3.3631,0.0,0.000100,0.4728
112,81.46,1.7919,-1.5182,-7.7514,0.0,0.000100,0.4725
113,70.51,3.2797,-0.1437,-0.8594,0.0,0.000100,0.4723
114,100.0,1.5834,-1.6878,-9.1781,0.0,0.000100,0.4721
115,77.42,3.264,-0.1415,-0.8593,0.0,0.000100,0.4718
116,100.0,0.75,-2.3917,-12.9334,0.0,0.000100,0.4716
117,26.35,4.2284,0.7493,3.5134,0.0,0.000100,0.4713
118,57.05,3.4209,0.0175,-0.0684,0.0,0.000100,0.4711
119,22.63,4.1447,0.672,3.1646,0.0,0.000100,0.4709
120,0.0,3.9241,0.4685,2.3363,0.0,0.000100,0.4706
121,100.0,0.75,-2.3689,-12.8064,0.0,0.000100,0.4704
122,50.03,4.8935,1.3334,6.2123,0.0,0.000100,0.4702
123,8.84,3.2195,-0.163,-0.9939,0.0,0.000100,0.4699
124,85.43,3.4934,0.0826,0.2658,0.0,0.000100,0.4697
125,2.1,4.1601,0.6796,3.436,0.0,0.000100,0.4695
126,16.51,3.9459,0.4838,2.2782,0.0,0.000100,0.4692
127,31.47,3.3885,-0.0212,-0.2494,0.0,0.000100,0.469
128,0.0,3.2079,-0.1848,-1.1409,0.0,0.000100,0.4688
129,83.55,1.5151,-1.7042,-8.7134,0.0,0.000100,0.4685
130,71.93,4.2207,0.7432,3.4787,0.0,0.000100,0.4683
131,96.66,1.4202,-1.7706,-9.4755,0.0,0.000100,0.4681
132,33.0,4.832,1.2878,6.0761,0.0,0.000100,0.4678
133,100.0,1.5847,-1.6062,-8.7291,0.0,0.000100,0.4676
134,14.04,3.4315,0.042,0.0659,0.0,0.000100,0.4674
135,50.15,4.0608,0.6027,2.7309,0.0,0.000100,0.4671
136,18.24,5.1492,1.5601,7.6436,0.0,0.000100,0.4669
137,80.57,1.8674,-1.3568,-6.8995,0.0,0.000100,0.4667
138,2.92,3.1324,-0.2297,-1.3578,0.0,0.000100,0.4664
139,70.33,2.1207,-1.1243,-5.602,0.0,0.000100,0.4662
140,86.75,3.3369,-0.0387,-0.3392,0.0,0.000100,0.466
141,41.23,4.4784,0.9769,4.5302,0.0,0.000100,0.4657
142,86.38,3.086,-0.2694,-1.5069,0.0,0.000100,0.4655
143,100.0,0.933,-2.1606,-11.6849,0.0,0.000100,0.4653
144,41.38,5.1341,1.5475,7.2551,0.0,0.000100,0.465
145,100.0,2.4315,-0.8331,-4.5936,0.0,0.000100,0.4648
146,100.0,0.75,-2.2698,-12.2666,0.0,0.000100,0.4646
147,87.55,2.7451,-0.5301,-2.8344,0.0,0.000100,0.4643
148,25.59,3.4242,0.0625,0.1731,0.0,0.000100,0.4641
149,41.94,2.6865,-0.581,-2.9013,0.0,0.000100,0.4639
150,43.17,2.9979,-0.3066,-1.5893,0.0,0.000100,0.4636
151,64.7,4.5287,1.0341,4.8439,0.0,0.000100,0.4634
152,22.42,3.6657,0.2735,1.2202,0.0,0.000100,0.4632
153,13.49,3.2628,-0.0819,-0.5441,0.0,0.000100,0.4629
154,100.0,2.4067,-0.8356,-4.5968,0.0,0.000100,0.4627
155,0.0,3.1715,-0.157,-0.9691,0.0,0.000100,0.4625
156,51.58,2.7945,-0.4904,-2.4536,0.0,0.000100,0.4622
157,54.63,4.6005,1.1118,5.1686,0.0,0.000100,0.462
158,0.0,4.75,1.2351,6.4572,0.0,0.000100,0.4618
159,27.65,3.913,0.4888,2.2563,0.0,0.000100,0.4615
160,2.78,3.3786,0.0123,-0.0634,0.0,0.000100,0.4613
161,0.0,3.9526,0.5236,2.6625,0.0,0.000100,0.4611
162,67.97,2.0314,-1.1895,-5.8648,0.0,0.000100,0.4609
163,55.55,4.8369,1.3108,6.1144,0.0,0.000100,0.4606
164,34.54,4.7663,1.2381,5.8253,0.0,0.000100,0.4604
165,62.0,4.1796,0.7117,3.2819,0.0,0.000100,0.4602
166,58.12,3.9368,0.4931,2.2258,0.0,0.000100,0.4599
167,0.0,4.6654,1.1373,5.9327,0.0,0.000100,0.4597
168,30.23,3.4386,0.0402,0.068,0.0,0.000100,0.4595
169,69.68,2.4845,-0.8114,-4.0552,0.0,0.000100,0.4592
170,0.0,3.0145,-0.3346,-1.9208,0.0,0.000100,0.459
171,46.83,3.7517,0.3279,1.4292,0.0,0.000100,0.4588
172,64.77,2.1304,-1.1277,-5.54,0.0,0.000100,0.4586
173,68.93,2.6452,-0.6608,-3.3224,0.0,0.000100,0.4583
174,74.69,2.2415,-1.0194,-5.1171,0.0,0.000100,0.4581
175,0.0,3.1628,-0.1869,-1.1338,0.0,0.000100,0.4579
176,100.0,1.5121,-1.6636,-9.0282,0.0,0.000100,0.4576
177,26.77,4.6597,1.1644,5.5407,0.0,0.000100,0.4574
178,25.9,3.43,0.0574,0.1524,0.0,0.000100,0.4572
179,89.7,1.6114,-1.5685,-8.1663,0.0,0.000100,0.457
