update,steps,gap,gap1,gap2,e1,e2,entropy,clip_eps,lr
131,1073152,43.31255614757538,39.222509264945984,43.31255614757538,39.527490735054016,35.43744385242462,0.0019999999999999983,0.25,0.0003
132,1081344,38.748440742492676,38.748440742492676,36.296159625053406,40.001559257507324,42.453840374946594,0.0019999999999999983,0.25,0.0003
133,1089536,38.210827708244324,38.210827708244324,34.618640542030334,40.539172291755676,44.131359457969666,0.0019999999999999983,0.25,0.0003
134,1097728,38.5388708114624,38.5388708114624,32.908568382263184,40.2111291885376,45.841431617736816,0.0019999999999999983,0.25,0.0003
135,1105920,38.098949790000916,38.098949790000916,33.63952696323395,40.651050209999084,45.11047303676605,0.0019999999999999983,0.25,0.0003
136,1114112,37.720388770103455,37.720388770103455,33.028138279914856,41.029611229896545,45.721861720085144,0.0019999999999999983,0.25,0.0003
137,1122304,37.27176249027252,37.27176249027252,34.104124307632446,41.47823750972748,44.645875692367554,0.0019999999999999983,0.25,0.0003
138,1130496,36.81501507759094,36.81501507759094,33.12202751636505,41.93498492240906,45.62797248363495,0.0019999999999999983,0.25,0.0003
139,1138688,36.348885893821716,36.348885893821716,32.69592583179474,42.401114106178284,46.05407416820526,0.0019999999999999983,0.25,0.0003
140,1146880,36.2976199388504,36.2976199388504,33.599088191986084,42.4523800611496,45.150911808013916,0.0019999999999999983,0.25,0.0003
141,1155072,35.97147822380066,35.97147822380066,33.28552603721619,42.77852177619934,45.46447396278381,0.0019999999999999983,0.25,0.0003
142,1163264,35.48486292362213,35.48486292362213,32.43698835372925,43.26513707637787,46.31301164627075,0.0019999999999999983,0.25,0.0003
143,1171456,35.076618790626526,35.076618790626526,32.80889451503754,43.673381209373474,45.94110548496246,0.0019999999999999983,0.25,0.0003
144,1179648,35.52175223827362,35.52175223827362,32.566384077072144,43.22824776172638,46.183615922927856,0.0019999999999999983,0.25,0.0003
145,1187840,35.13293921947479,35.13293921947479,32.307226061820984,43.61706078052521,46.442773938179016,0.0019999999999999983,0.25,0.0003
146,1196032,35.536179542541504,35.536179542541504,32.5542277097702,43.213820457458496,46.1957722902298,0.0019999999999999983,0.25,0.0003
147,1204224,35.23508369922638,35.23508369922638,33.07712137699127,43.51491630077362,45.67287862300873,0.0019999999999999983,0.25,0.0003
148,1212416,35.01353919506073,35.01353919506073,33.30281734466553,43.73646080493927,45.44718265533447,0.0019999999999999983,0.25,0.0003
149,1220608,35.17571151256561,35.17571151256561,33.130714893341064,43.57428848743439,45.619285106658936,0.0019999999999999983,0.25,0.0003
150,1228800,35.53889453411102,35.53889453411102,33.067718744277954,43.21110546588898,45.682281255722046,0.0019999999999999983,0.25,0.0003
151,1236992,35.226083397865295,35.226083397865295,32.802239656448364,43.523916602134705,45.947760343551636,0.0019999999999999983,0.25,0.0003
152,1245184,35.46286582946777,35.46286582946777,32.68096208572388,43.28713417053223,46.06903791427612,0.0019999999999999983,0.25,0.0003
153,1253376,35.00494420528412,35.00494420528412,31.749910712242126,43.74505579471588,47.00008928775787,0.0019999999999999983,0.25,0.0003
154,1261568,35.32804608345032,35.32804608345032,32.25598692893982,43.42195391654968,46.49401307106018,0.0019999999999999983,0.25,0.0003
155,1269760,35.65075159072876,35.65075159072876,33.28282594680786,43.09924840927124,45.46717405319214,0.0019999999999999983,0.25,0.0003
156,1277952,35.232526659965515,35.232526659965515,33.09184372425079,43.517473340034485,45.65815627574921,0.0019999999999999983,0.25,0.0003
157,1286144,34.845170974731445,34.845170974731445,32.39401340484619,43.904829025268555,46.35598659515381,0.0019999999999999983,0.25,0.0003
158,1294336,35.23130476474762,35.23130476474762,32.00002074241638,43.51869523525238,46.74997925758362,0.0019999999999999983,0.25,0.0003
159,1302528,34.92581009864807,34.92581009864807,32.14156687259674,43.82418990135193,46.60843312740326,0.0019999999999999983,0.25,0.0003
160,1310720,35.25950074195862,35.25950074195862,32.59088754653931,43.49049925804138,46.15911245346069,0.0019999999999999983,0.25,0.0003
161,1318912,34.84206259250641,34.84206259250641,32.2327321767807,43.90793740749359,46.5172678232193,0.0019999999999999983,0.25,0.0003
162,1327104,34.5724081993103,34.5724081993103,33.00540208816528,44.1775918006897,45.74459791183472,0.0019999999999999983,0.25,0.0003
163,1335296,34.88188147544861,34.88188147544861,32.46749401092529,43.86811852455139,46.28250598907471,0.0019999999999999983,0.25,0.0003
164,1343488,34.497947096824646,34.497947096824646,32.840920090675354,44.252052903175354,45.909079909324646,0.0019999999999999983,0.25,0.0003
165,1351680,34.81525540351868,34.81525540351868,33.19319248199463,43.93474459648132,45.55680751800537,0.0019999999999999983,0.25,0.0003
166,1359872,35.18987059593201,35.18987059593201,31.877694129943848,43.56012940406799,46.87230587005615,0.0019999999999999983,0.25,0.0003
167,1368064,34.78925585746765,34.78925585746765,32.854116559028625,43.96074414253235,45.895883440971375,0.0019999999999999983,0.25,0.0003
168,1376256,34.40027594566345,34.40027594566345,32.90053963661194,44.34972405433655,45.84946036338806,0.0019999999999999983,0.25,0.0003
169,1384448,34.84389543533325,34.84389543533325,32.23712503910065,43.90610456466675,46.51287496089935,0.0019999999999999983,0.25,0.0003
