ts,event,queue,idx,gpu,info,cmd
2026-08-01T07:10:46+00:00,START,jobs,27,gpu1,,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_different_ability.py --method ppo --q 55 --seed 43 --min-updates 1000 --episodes 6144000 --ablation-name r7_state4_std"
2026-08-01T07:11:42+00:00,END,jobs,19,gpu6,rc=0,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_different_ability.py --method ppo --q 35 --seed 44 --min-updates 1000 --episodes 6144000 --ablation-name r7_state4_std"
2026-08-01T07:11:42+00:00,START,jobs,28,gpu6,,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_different_ability.py --method ppo --q 55 --seed 43 --theory-align-v2 --override-conc-ramp-warmup 200 --min-updates 1000 --episodes 6144000 --ablation-name r7_state4_v2"
2026-08-01T07:13:52+00:00,END,jobs,20,gpu5,rc=0,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_different_ability.py --method ppo --q 35 --seed 44 --theory-align-v2 --override-conc-ramp-warmup 200 --min-updates 1000 --episodes 6144000 --ablation-name r7_state4_v2"
2026-08-01T07:13:52+00:00,START,jobs,29,gpu5,,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_different_ability.py --method ppo --q 55 --seed 44 --min-updates 1000 --episodes 6144000 --ablation-name r7_state4_std"
2026-08-01T07:25:10+00:00,END,jobs,21,gpu7,rc=0,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_different_ability.py --method ppo --q 35 --seed 45 --min-updates 1000 --episodes 6144000 --ablation-name r7_state4_std"
2026-08-01T07:25:11+00:00,START,jobs,30,gpu7,,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_different_ability.py --method ppo --q 55 --seed 44 --theory-align-v2 --override-conc-ramp-warmup 200 --min-updates 1000 --episodes 6144000 --ablation-name r7_state4_v2"
2026-08-01T07:34:35+00:00,END,jobs,23,gpu4,rc=0,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_different_ability.py --method ppo --q 35 --seed 46 --min-updates 1000 --episodes 6144000 --ablation-name r7_state4_std"
2026-08-01T07:34:35+00:00,START,jobs,31,gpu4,,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_different_ability.py --method ppo --q 55 --seed 45 --min-updates 1000 --episodes 6144000 --ablation-name r7_state4_std"
2026-08-01T09:37:10+00:00,END,jobs,24,gpu3,rc=0,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_different_ability.py --method ppo --q 35 --seed 46 --theory-align-v2 --override-conc-ramp-warmup 200 --min-updates 1000 --episodes 6144000 --ablation-name r7_state4_v2"
